"rank","title","link"
1,"Binging with Babish: Cubanos from Chef","https://www.youtube.com/watch?v=hXYoduN0kWs"
8,"Binging with Babish: Bob's Burgers","https://www.youtube.com/watch?v=basFyoMSjds"
4,"Binging with Babish: Rick & Morty Szechuan Sauce","https://www.youtube.com/watch?v=wBhhlE92mIQ"
5,"Binging with Babish: South Park Special","https://www.youtube.com/watch?v=KxPgrGdSHh8"
2,"Binging with Babish: Krabby Supreme from Spongebob Squarepants","https://www.youtube.com/watch?v=Rzd0mLf366I"
10,"Binging with Babish: Homer Simpson's Patented Space Age Out-Of-This-World Moon Waffles","https://www.youtube.com/watch?v=27mUWs2wjPs"
9,"Binging with Babish 2 Million Subscriber Special: The Every-Meat Burrito from Regular Show","https://www.youtube.com/watch?v=Mf4wwXM2o_M"
7,"Binging with Babish: Louis C.K.'s Potluck Fried Chicken","https://www.youtube.com/watch?v=7UEIBdMyj9g"
6,"Binging with Babish: Goodfellas Prison Sauce","https://www.youtube.com/watch?v=uEjMyHccX8U"
3,"Binging with Babish: Big Kahuna Burger from Pulp Fiction","https://www.youtube.com/watch?v=OmwE0aJqkdA"
